d0001	YHQ 176-band,1-ilova3-bo'lim 3.27 yo'l belgisi.
d0279	YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining qo'llari yon tomonga uzatilganda yoki tushirilganda, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat etiladi. Oldi va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi.
d0280	Yu.V.Bashuev.K.A.Karimova str.33 O'pkaning sun'iy ventilyatsiyasi samarali bo'lishi uchun nafas olish yo'llariga havoning erkin o'tishini ta'minlash zarur. Og'iz bo'shlig'i shilliq, qon, qusuq va boshqa jismlardan xoli ekanligiga ishonch hosil qilish kerak. To'qimalarga kislorod kelishi va qon aylanishini ta'minlash uchun o'pkaga kislorod kelishini kuchaytirish bilan birga yurak urish faoliyatini qayta tiklashga darhol kirishish lozim.
d0281	YHQ 3-ilova 1.3-band.
d0282	YHQ 1-ilovasining 3-bo'limidagi 3.7 belgi talabiga asosan, "Tirkama bilan harakatlanish taqiqlangan" belgisi istalgan turdagi tirkamali avtomobil va traktorlarning hamda barcha turdagi transport vositalarining shatakka olib harakatlanishini taqiqlaydi.
d0283	YHQ 1-ilova 5-bo'lim 5.34.1 yo'l belgisi.
d0284	YHQ 2-ilovasining 1-bo'limidagi 1.1 chizig'i yo'lning kirish taqiqlangan qismi chegarasini bildiradi.
d0285	YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'iy nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi.
d0286	Yu.V.Bashuev.K.A.Karimova str.33 Agar jabrlanuvchida yurak urishi faoliyati va nafas olishi to'xtagan bo'lsa, yurakning tashqi massaji bilan birga sun'iy nafas oldirish amalga oshiriladi. Bunday hollarda tin (nafas) olish oraliqlarida ko'krak qafasi 30 marta keskin bosiladi.
d0287	YHQ 1-ilovasining 3-bo'limidagi 3.19 belgi talabiga asosan, "Qayrilish taqiqlangan" belgi o'rnatilgan birinchi chorrahagacha qayrilishni taqiqlaydi. Belgi chapga burilishni taqiqlamaydi.
d0288	YHQ 3-ilova 1.4-band.
d0289	Yu.V.Bashuev.K.A.Karimova str.26 Shinalarning birida bosimning kamayishi uning aylanishiga qarama-qarshiligini kuchaytiradi va ko'ndalang qattiqligini kamaytiradi. Shuning uchun bosimi bo'lmagan shina bilan avtomobil yon tomonga og'adi. Boshqarishni saqlab qolish uchun haydovchi rul chambaragini ushlab turib, tezlikni pasaytirishi va to'xtashi lozim.
d0290	YHQ 1-ilova 1-bo'lim 1.3.1 yo'l belgisi.
d0291	YHQ 2-ilova 1-bo'lim 1.2 yotiq chizig'i.
d0292	YHQ 91, 87-bandlar.
d0293	YHQ 12-bobi 86-bandi 4-xatboshiga asosan, quvib o'tish quyidagi hollarda taqiqlanadi: temir yo'l kesishmalarida va ulargacha 100 metrdan kam masofa qolganda.
d0294	YHQ84 ,47-bandiga muvofiq, quvib o'tilayotgan transport vositasining haydovchisiga harakat tezligini oshirish yoki boshqa xatti-harakatlar bilan quvib o'tishga to'sqinlik qilish taqiqlanadi.Haydovchi harakat yo'nalishini o'zgartirish haqidagi ogohlantiruvchi ishorani berishdan oldin orqadan kelayotgan, uni quvib o'tishni boshlagan va boshqa harakat ishtirokchilariga xalaqit bermayotganligiga ishonch hosil qilishi kerak.
d0295	Yu.V.Bashuev.K.A.Karimova str. 23 Bir o'qda o'rnatilgan (chap va o'ng) shinalar naqshining ustki shakli va uning eyilganlik darajasi barcha hollarda bir xil bo'lishi lozim, chunki bu hol tormozlanayotganda avtomobilning muvozanatini ta'minlovchi shartlardan biri hisoblanadi. Ushbu tartib inobatga olinmasa tormozlanish vaqtida har xil tormoz kuchlari yuzaga kelib, muvozanatni yo'qotishga olib keluvchi hollarni vujudga keltiradi. Avtomobilning naqshi eyilgan shina tomoni oldinga intilib, aks tomoni orqada qoladi. Bu holda avtomobil bir tomonga siljib, maqbul bo'lmagan sharoitlarda muvozanatini yo'qotib, ag'darilishi mumkin.
d0296	YHQ 1-ilova 5-bo'lim 5.8.3 yo'l belgisi.
d0297	YHQ 91, 132-bandlari.
d0298	YHQ 70-band.
d0299	Yu.V.Bashuev.K.A.Karimova str.34 Suyak siniqlarining bir biriga nisbatan qo'zg'almasligini ta'minlash uchun boldirni ikki taxtakach orasida mahkamlab, boldir-tovon bo'g'in va tizza bo'g'inining harakatini chegaralash lozim.
d0300	YHQ 1-ilova 1-bo'lim 1.1 yo'l belgisi.
d0301	YHQ 144-band.
d0302	YHQ 25, 26-bandlari.
d0303	YHQ 11-bobi 79-bandiga asosan, aholi punktlaridan tashqarida shaharlararo qatnaydigan avtobuslarga va mikroavtobuslarga tezlikni soatiga 90 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0304	YHQ 24-bobi 145-bandiga asosan, yo'l yaxmalak, sirpanchiq bo'lgan hollarda egiluvchan ulagichda shatakka olish taqiqlanadi.
d0305	YHQ 1-ilovasining 7-bo'limidagi 7.6.1-7.6.9 qo'shimcha axborot belgilari "Transport vositasini to'xtab turish joyiga qo'yish usuli" belgilaridir.
d0306	YHQ 2-ilova 1-bo'lim 1.4 yotiq chizig'i va 1-ilova 3-bo'lim 3.27 yo'l belgisi.
d0307	YHQ 72-band.
d0308	YHQ 11-bobi 79-bandi 2-xatboshiga asosan, aholi punktlaridan tashqarida shaharlararo qatnaydigan avtobuslarga va mikroavtobuslarga tezlikni soatiga 90 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0309	YHQ 24-bobning 143-bandiga muvofiq, qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda,trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek, shatakka olgan transport vositasining yukxonasida odamlar bo'lishi ta'qiqlanadi.
d0310	YHQ 2-ilova 1-bo'lim 1.9 yotiq chizig'i.
d0311	Yu.V.Bushuev,K.A.Karimova str.34 Etillangan benzin (tetraetilqo'rg'oshin qo'shilgan benzin)ning birdan katta miqdori havoga ajralishidan o'tkir zaharlanish kelib chiqadi va unda ko'ngil aynish, qusish, holsizlanish, bosh aylanishi, ishtahaning yo'qolishi hollari yuzaga keladi. Og'izda metall ta'mi, tilda yot jizm sezilishi kabilar o'ziga xos belgilaridan biridir. Og'ir holatlarda asabiylashish, chayqalib yurish, alahsirash, ko'rish va eshitishga oid gallyutsinatsiyalar va tomir tortishlar kuzatiladi. Etillanmagan benzindan ham zaharlanish mumkin. Shu kabi zaharlanishning alomatlari etillangan benzindan zaharlanishni eslatadi, biroq engilroq tarzda o'tadi.
d0312	YHQ 1-ilovasining 3.18.2 belgisi talabiga muvofiq, "Chapga burilish taqiqlangan" belgisi o'rnatilgan kesishmaga taluqli. Belgi orqaga qayrilib olishni taqiqlamaydi.
d0313	YHQ 2-ilovasining 1-bo'limidagi 1.10 chizig'i yo'lning harakatlanish qismi chetiga yoki yo'l chetidagi to'siq (bordyur) ustidan chizilgan sariq chiziq to'xtab turishni taqiqlaydi. O'zi alohida yoki 3.28 "To'xtab turish taqiqlangan" belgisi bilan qo'llanilishi mumkin.
d0314	18-bobning 119-bandiga muvofiq, kesishma orqali harakatlanish taqiqlangan hollarda haydovchi 5.1 to'xtash chizig'i, 2.5 yo'l belgisi yoki svetofor oldida, ular bo'lmaganda shlagbaumgacha kamida 5 metr, shlagbaum bo'lmaganda esa birinchi temir yo'l iziga kamida 10 metr qolganda to'xtashi kerak.
d0315	YHQ 7-bobi 32-bandi 3-xatboshiga asosan, qo'shimcha tarmoqdagi ishora o'chirilgan bo'lsa, shu tarmoq tartibga solayotgan yo'nalishda harakatlanish taqiqlanganligini bildiradi.
d0316	YHQ 12-bobi 80-bandi 4-xatboshiga asosan, har qanday yo'llarda: - xavfli, og'ir vaznli va katta o'lchamli yuklarni tashiyotgan, tashkiliy jamlanmada harakatlanayotgan transport vositalariga DYHXX bilan kelishilgan tezlikdan oshirmasdan harakatlanishga ruxsat etiladi.
d0317	YHQ 177-band.
d0318	YHQ 138-band.
d0319	Yu.V.Bushuev,K.A.Karimova str.34 Qon to'xtatish jguti yilning sovuq fasllarida bir soatdan ortiq bo'lmagan vaqtga qo'yiladi. Jgut qo'yilishi barcha quyi joylashgan to'qimalarda qon aylanishini to'xtatish bilan bog'liq. Qon aylanishini uzoqroq vaqtga to'xtatish qo'l yoki oyoqda qon tomirlari yo'nalishi bo'yicha jgutdan quyiroq qismda halokatli o'zgarishlarga olib keladi.
d0320	YHQ 1-ilova 3-bo'lim 3.13 yo'l belgisi.
d0321	YHQ 102, 103-bandlar.
d0322	Yu.V.Bushuev,K.A.Karimova str.25 Avtomobilning sirpanchiq yo'lda sirpanishi orqa g'ildiraklarining blokirovkasi sababli vujudga keladi. Bu holda birinchi navbatda surilish sababini bartaraf etish, ya'ni boshlangan tormozlanishni to'xtatish lozim. Keyinchalik rul chambaragini surilish tomon burib, harakat yo'nalishini to'g'rilab olish mumkin.
d0323	YHQ 1-ilovasining 5-bo'limidagi 5.28 "Kilometr belgisi" belgi yo'lning boshi yoki oxirigacha bo'lgan masofani bildiradi (km).
d0324	E.V.Bocharov str.41 Inertsiya (markazdan qochma) kuchi avtomobilning burilish bo'ylab harakatida vujudga keladi. Bu holda u burilish markazidan qarama qarshi yo'nalish tomon yo'naltirilgan va harakat tezligi kattalashishi hamda burilish radiusi kamayishi bilan ko'payadi.
d0325	YHQ 7-bobi 40-bandiga muvofiq, yo'l harakati qatnashchilarining e'tiborini jalb etish uchun hushtak bilan qo'shimcha ishora berilishi mumkin.
d0326	Yu.V.Bushuev,K.A.Karimova str.34 Ko'krak qafasining keng yaralanishida jabrlanuvchiga tarang bog'ich bog'lanadi. Ko'krak qafasining quyiroq qismlaridan boshlab bint o'raladi . Nafas chiqarish paytida mustahkamlanadi.
d0327	YHQ 12-band
d0328	YHQ 2-ilova 1-bo'lim 1.15 yotiq chizig'i.
d0329	YHQ 3-ilova 5.5-band.
d0330	YHQ 19-bobi 121-bandi 3-xatboshiga muvofiq, avtomagistrallarda 5.15. yoki 6.11. belgilari bilan belgilangan maxsus to'xtab turish maydonchalaridan boshqa joylarda to'xtash taqiqlanadi.
d0331	YHQ 1-ilova 5-bo'lim 5.6 yo'l belgisi.
d0332	YHQ 12-bobi 86-bandi 4-xatboshiga muvofiq, quvib o'tish quyidagi hollarda taqiqlanadi: temir yo'l kesishmalarida va ulargacha 100 metrdan kam masofa qolganda.
d0333	YHQ 1-ilova 3-bo'lim 3.11 yo'l belgisi.
d0334	YHQ 1-ilovasining 7-bo'limidagi 7.2.1 "Ta'sir oralig'i" qo'shimcha belgisi: ogohlantiruvchi belgilar bilan qo'llansa, yo'lning xavfli qismi qanchagacha davom etishini, taqiqlovchi belgilar bilan qo'llansa, ularning cheklov oralig'ini, axborot-ishora belgilari bilan qo'llansa, "5.15", "5.18" belgilarining ta'sir oralig'ini ko'rsatadi.
d0335	YHQ 3-ilova 7-bo'lim 7.19-bandiga muvofiq, gaz bilan ta'minlash tizimi bilan jihozlangan avtobus va avtomobil gaz balonlarini tashqi tomonida ko'rsatilgan texnik ko'rsatkichlar (parametrlar) texnik pasportdagi ma'lumotlarga (ko'rsatkichlarga) mos kelmasa, oxirgi va rejalashtirilayotgan tekshiruvlarning sanasi bo'lmasa.
d0336	YHQ 19-bob 121-bandi 5-xatboshiga muvofiq, avtomagistrallarda orqaga harakatlanish taqiqlanadi.
d0337	YHQ 94-band.
d0338	V.I.Konoplyanko str.62 Tik nishablikda uzatma va ilashish mexanizmini ajratgan holatda uzoq tormoz berish xavfi tormoz mexanizmlarining qizib ketishi, tormozlanish samarasining kamayishi va uning ishdan chiqishidadir.
d0339	YHQ 176-band.
d0340	YHQ 11-bobi 80-bandi 3-xatboshiga muvofiq, har qanday yo'llarda: mexanik transport vositalarini shatakka olgan transport vositalariga tezlikni soatiga 50 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0341	YHQ 8-bobi 45-bandi 2-xatboshiga muvofiq, chapga burilish (qayrilib olish)ni bildiruvchi ishoraga chap qo'lni yoki tirsakdan to'g'ri burchak ostida bukilgan o'ng qo'lni, o'ngga burilishni bildiruvchi ishoraga o'ng qo'lni yoki tirsakdan to'g'ri burchak ostida bukilgan chap qo'lni yonga uzatish mos keladi.
d0342	Yu.V.Bushuev,K.A.Karimova str.34 Qorin bo'shlig'ining yopiq jarohatlari hollarida gavdaning holati oyoqlarni tizzalaridan bukib, yon tarafga qarab yotiladi. Qorin qismiga muz xaltachasi qo'yiladi.
d0343	YHQ 3-ilovasi 7-bo'lim 7.6 bandiga muvofiq, transport vositalaridan foydalanishni taqiqlovchi shartlar: spidometr qurilmasi nosoz yoki tamg'alanmagan (shaxsiy transport vositalari, mototsikl va mopedlardan tashqari) bo'lsa.
d0344	YHQ 1-ilovasining 7-bo'limidagi 7.1.1 qo'shimcha axborot belgisi - "Ob'ektgacha bo'lgan masofa". Belgidan yo'lning xavfli joyi, yo'l harakatiga tegishli cheklovlar kiritiladigan joyi yoki harakat yo'nalishi bo'yicha oldindagi muayyan obektgacha bo'lgan masofani ko'rsatadi.
d0345	YHQ 60-band.
d0346	YHQ 61-band.
d0347	YHQ 24-bobi 145 band. Shatakka olish quyidagi holatlarda taqiqlanadi: yo'l yaxmalak, sirpanchiq bo'lgan hollarda egiluvchan ulagichda.
d0348	YHQ 124-band.
d0349	YHQ 3 ilova: 3.2. band- Yorituvchi chiroq nurining yo'nalishi buzilgan bo'lsa. 3.3. Agar tashqi yoritqichlar va nur qaytargichlar belgilangan tartibda ishlamayotgan yoki ifloslangan bo'lsa. 3.6. Transport vositasida quyidagilar: old qismida - oq yoki sariq rangdan boshqa rangli tumanga qarshi faralar, sariq yoki zarg'aldoq rangdan boshqa rangli burilish ko'rsatgichlari, oq rangdan boshqa rangli nur qaytargichlar o'rnatilgan bo'lsa;
d0350	YHQ 1 ilova: 7.16. belgisi "Nam qoplama". Belgi qatnov qismining qoplamasi nam bo'lgan vaqtda ta'sir etishini ko'rsatadi.
d0351	YHQ 1 ilova: 7.6.1 - 7.6.9.belgilari"Transport vositasini to'xtab turish joyiga qo'yish usuli". 7.6.2 - 7.6.9 trotuar yonidagi to'xtab turish joyiga engil avtomobillar va mototsikllarni qo'yish usulini bildiradi.
d0352	YHQ 1-ilova 3-bo'lim 3.2 - 3.8 yo'l belgilari.
d0353	YHQ 7-bobi 42 bandi:Sariq ishora yonganda yoki tartibga soluvchining qo'li yuqoriga ko'tarilganida, ushbu Qoidalarning 41-bandida nazarda tutilgan joylarda, keskin tormoz bermasdan to'xtashga ulgura olmaydigan transport vositalarining haydovchilariga harakatni davom ettirishga ruxsat etiladi.
d0354	YHQ 8-bobi 51 bandi: Transport vositasi to'satdan to'xtab qolganida zudlik bilan avariya yorug'lik ishorasini yoqish, agar ishlamasa avariya to'xtash belgisini (miltillovchi qizil chiroq) darhol o'rnatish kerak. U quyidagi hollarda qo'llaniladi: yo'l-transport hodisasi sodir bo'lganda; to'xtash taqiqlangan joylarda yoki to'xtagan joyidagi ko'rinish transport vositasini boshqa haydovchilar tomonidan o'z vaqtida payqab olishga to'sqinlik qiladigan joylarda majburiy to'xtab qolganda.
d0355	YHQ 1 ilova: 5.8.1.belgisi "Bo'laklar bo'yicha harakat yo'nalishi" va 2 ilova: 1.1 chizig'i
d0356	YHQ 9-bobi 63 bandi: Transport vositasini orqaga harakatlantirishda haydovchi yo'l harakati xavfsizligini ta'minlashi va boshqa yo'l harakati qatnashchilariga xalaqit bermasligi shart. Zarurat tug'ilganda haydovchi boshqa shaxslarning yordamidan foydalanishi kerak. Orqaga harakatlanish chorrahalarda va ushbu Qoidalarning 62-bandiga muvofiq qayrilib olish mumkin bo'lmagan joylarda taqiqlanadi.
d0357	YHQ 10-bobi 73 bandi: Haydovchi o'zidan oldinda harakatlanayotgan transport vositasi keskin tormoz berganida to'qnashib ketmaslik kafolatini beradigan darajadagi oraliq masofani, shuningdek yo'l harakati xavfsizligini ta'minlaydigan yonlama oraliq masofani saqlashi kerak.
d0358	YHQ 137, 140-bandlari.
d0359	Yu.V.Bushuev,K.A.Karimovastr.27 Agar transport vositasi antiblokirovkali (ABS) tormoz tizimi bilan jihozlangan bo'lsa, shinaning qatnov qismi qoplamasi bilan tishlashishini shu tizim nazorat qiladi. Shuning uchun favqulodda tormozlash paytida tormoz pedalini oxirigacha bosib turish kerak.
d0360	YHQ 12-band.
d0361	YHQ 105-band va 1-ilova 1-bo'lim 1.6 yo'l belgisi.
d0362	YHQ 1 ilova 3.7. yo'l belgisi "Tirkama bilan harakatlanish taqiqlanadi". Yuk tashuvchi transport vositalari, traktorlarning barcha turdagi tirkamalar bilan harakatlanishi, shuningdek mexanik transport vositalarini har qanday usulda shatakka olish taqiqlanishini bildiradi.
d0363	YHQ 1 ilova 5.35. yo'l belgisi "Reversiv harakatlanish". Bir yoki bir necha bo'laklarda harakatlanish yo'nalishi qarama-qarshi tomonga o'zgarishi mumkin bo'lgan yo'l qismining boshlanishini bildiradi.
d0364	Maktab dasturiga asosan bir soat 60 daqiqadan iborat bo'ladi yoki 3600 soniyaga teng. Bir kilometrda esa1000 metr bor. Bundan chiqadiki :72*1000=72000metr/3600 sek.=20 metr bir soniyada.
d0365	YHQ 1ilova: 4.1.1.belgisi "Harakatlanish to'g'riga",7.4.1 belgi bilan o'rnatilgan yo'l belgisining ta'siri yuk tashuvchi, shu jumladan, tirkamali, to'la vazni 3,5 tonnadan ortiq bo'lgan transport vositalariga.
d0366	YHQ 3 ilova: 2.1.band. Boshqaruv qurilmasidagi lyuft yig'indisi reglament (qat'iy belgilangan) sharoitlardagi sinovlarda quyidagi ko'rsatkichdan katta bo'lmasligi kerak: M1-10°; M2, M3, N1-20°; N2, N3-25°.
d0367	YHQ 1-ilova 5-bo'lim 5.37 yo'l belgisi.
d0368	YHQ 48, 49-bandlari.
d0369	YHQ 3-ilova 7.10 - band.
d0370	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015, 250-bet
d0371	YHQ 2-ilova 1-bo'lim 1.7 yotiq chizig'i.
d0372	YHQ 2-bobi 13 bandi: Yo'l-transport hodisasi sodir bo'lganda unga daxldor haydovchilar quyidagilarni bajarishlari shart: transport vositasini darhol to'xtatishi, avariya ishoralarini yoqishi va avariya sababli to'xtash belgisini o'rnatishi, transport vositasini va hodisaga daxldor buyumlarni joyidan qo'zg'atmasligi;
d0373	YHQ 1 ilova: 5.7.1, 5.7.2. belgilari "Bir tomonlama harakatli yo'lga chiqish". Harakatlanish bir tomonlama bo'lgan yo'lga yoki qatnov qismiga chiqishni bildiradi. 5.10.2. "Yo'nalishli transport vositalari uchun bo'lagi bor yo'lga chiqish". Yo'nalishli transport vositalarining umumiy oqimga qarshi harakatlanishi uchun ajratilgan bo'lakni bildiradi.
d0374	YHQ 7-bobi 43 bandiva 1 ilova: 4.1.1.belgisi "Harakatlanish to'g'riga". 4.1.1 - 4.1.6 belgilarining ta'sir oralig'ida faqat yo'naltirgichlar buyurgan tomonga harakatlanishga ruxsat etiladi.
d0375	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015, 302 bet
d0376	YHQ 1ilova: 4.6.belgisi "Piyodalar yo'lkasi". Faqat piyodalar yurishiga ruxsat etiladi.
d0377	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015, 299-300 bet.
d0378	YHQ 1ilova: 7.2.1.belgisi "Ta'sir oralig'i". Ogohlantiruvchi belgilar bilan belgilangan xavfli joyning uzunligini yoki taqiqlovchi va axborot-ko'rsatkich belgilarining ta'sir oralig'ini ko'rsatadi. 7.2.2 - 7.2.6. "Ta'sir oralig'i"
d0379	YHQ 49-band.
d0380	YHQ 3 ilova: 7.10.belgisi band Transport vositalari quyidagilar bilan jihozlanmagan bo'lsa: M1, N1, N2, N3 toifadagi, mikroavtobus va g'ildirakli traktorlarda tibbiyot qutichasi, o't o'chirgich, majburiy to'xtaganligini bildiruvchi belgi (yoki miltillovchi qizil chiroq) va nur qaytargichli kamzul (jilet);
d0381	YHQ 18 bobi 118 bandi, Temir yo'l kesishmasiga quyidagi hollarda kirish taqiqlanadi: kesishmadan keyin hosil bo'lgan tirbandlik tufayli haydovchi kesishmada to'xtashga majbur bo'ladigan hollarda;
d0382	YHQ 1-ilova 3-bo'lim 3.17.2 yo'l belgisi.
d0383	YHQ 14 bobi 98 bandi: Aylanma harakatlanish chorrahasida harakatlanayotgan transport vositalari aylanaga kirib kelayotgan transport vositalariga nisbatan ustunlikka (imtiyozga)ega.
d0384	YHQ 24 bobi 143 bandi: Qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda, trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek shatakka olgan transport vositasining yukxonasida odamlar bo'lishi taqiqlanadi.
d0385	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015 y.304 bet
d0386	E.V.Bocharov 29 bet.Tormoz tizimiga ega bo'lmagan tirkama bilan harakatlanayotganda engil avtomobilni tormoz yo'liuzayadi.
d0387	Yu.V.Bushuev,K.A.Karimova str.19 Sutkaning qorong'i vaqtida va bulutli ob-havoda ro'paradan kelayotgan avtomobil tezligi aslidagidan kam tezlikda tuyuladi
d0388	YHQ 23 Bob 137 band. Kunduzgi chiroqlarda ishlatiladigan yorug'lik diodlarining yorug'ligi kunduz kuni transport vositasini yaqinni yorituvchi chiroqlar bilan belgilash o'rniga ishlatish uchun etarli bo'ladi. Lekin tumanda yoki boshqa etarli ko'rinmaslik sharoitlarida harakatlanganda transport vositasida tumanga qarshi chiroqlar yoki yaqinni yorituvchi chiroqlar yoqilgan bo'lishi shart.
d0389	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015y. 294 bet.
d0390	YHQ 1 ilova: 4.1.2.belgisi "Harakatlanish o'ngga".
d0391	YHQ 52-band.
d0392	V.Domashnev "Texnika vojdeniya bez DTP " str.41 Antiblokirovka tizimi (ABS) avtomobilning tormoz tizimi bilan birga qarama qarshi ishlab uni tartibga soladi, ya'ni g'ildiraklarni keskin tormozlaganda ularni blokirovkadan asraydi. Bu bilan avtomobilni turg'unligini va boshqaruvchanligini engillashtiradi. Bu tizimning o'ziga yarasha qulayligi va shu bilan bir qatordakamchiliklari hammavjud.Qo'qqisdan tormozlanganda hatto quruq,qattiq qoplamali yo'llarda ABS tizimi avtomobilni to'xtata olmaydi uni ishga tushish vaqti (1-2 sek.) ushbu vaziyatga haydovchi ko'nikmahosil qilishikerak. Buesao'z navbatida tajriba talab etadi. Burilishlarda markazdan qochma kuch evazigaABS sirpanish va siljishga ta'sireta olmay qolishehtimoliyuzaga keladi.
d0393	V.I.Konoplyanko str.62 Transport vositasi qiyalikda joyidan qo'zg'alishda to'xtab turish tormoz dastagini harakatni boshlash bilan bir vaqtda tushirishni boshlash kerak
d0394	Vazirlar Mahkamasining 2019 yil 2 avgustdagi 646-son qarori: b) avtotransport vositalari orqa oynasining tusini, shuningdek, avtotransport vositalari old oynasining tepa qismi tusini 14 sm dan ko'p bo'lmagan polosa shaklida yorug'lik o'tkazuvchanligi cheklanmagan darajada o'zgartirish (qoraytirish)ruxsatnomasiz, tasdiqlangan davlat standarti asosida amalga oshiriladi.
d0395	YHQ 10 bobi 75 bandi: Agar biror-bir to'siq sababli qarama-qarshi yo'nalishlarda harakatlanish qiyin bo'lsa, to'siq o'z tomonida bo'lgan haydovchi yo'l berishi kerak.
d0396	Avtotest 2.0 o'quv qo'llanmasi, Toshkent, "Turon zamin ziyo" 2015y. 248 bet.Uzoq davom etadigan keng ravon yo'lda avtomobilni yuqori tezlikda boshqarganda haydovchiga tezlik aslidagidan sekin harakatlanayotganday qabul qilinadi
d0397	G.I.Penejko "Bezopasnost dvijeniya" str.146 Yo'lning yopiq qismidan ochik qismiga chiqishda kuchli yonlama shamol xavfi ortadi va avtopoezdni sirpanib ketishiga yoki ag'darilishiga olib keladi
d0398	YHQ 1 ilova: 2.5 belgisi "To'xtamasdan harakatlanish taqiqlangan". To'xtash chizig'i oldida, agar u bo'lmasa, kesib o'tiladigan qatnov qismining chetida to'xtamasdan harakatlanish taqiqlanadi. Haydovchi kesib o'tilayotgan yo'ldan, 7.13 qo'shimcha-axborot belgisi bo'lganda esa asosiy yo'ldan harakatlanayotgan transport vositalariga yo'l berishi kerak.
d0399	G.I.Penejko "Bezopasnost dvijeniya" str.73 Tezlik oshishi bilan haydovchining harakat traektoriyasida, shinalarning yon tomonga qarab egiluvchanligi, rul boshkarmasidagi lyufti, yo'lning notekisligi va shamol ta'siri oqibatida yon tomonga og'ishlar ortadi. Shuning uchun, tezlikni oshirganda, xaydovchilar yon tomon masofani oshirishlari kerak.
d0400	YHQ 4 bobi 19 band: Piyodalar to'xtab turgan avtobus va trolleybusning orqa tomonidan, tramvayning esa oldi tomonidan yo'lni kesib o'tishlari shart.
d0401	YHQ 24 bobi 145 bandi: Shatakka olish quyidagi holatlarda taqiqlanadi: tormoz tizimi ishlamayotgan transport vositasining haqiqiy vazni shatakka olgan transport vositasining haqiqiy vaznining yarmidan ortiq bo'lsa (haqiqiy vazni kam bo'lgan bunday transport vositasini faqat qattiq ulagich yordamida yoki qisman ortish usuli bilan shatakka olishga yo'l qo'yiladi).
d0402	E.V.Bocharov str.95 Yomg'ir tomchilab boshlanganda tezlikni kamaytirishi va extiyotkorlik choralarini kurishi shart, chunki yo'ldagi chang va moy va rezina qoldiqlari va boshqalar yo'lda sirpanchiq qatlam xosil qilib, ishqalanish koefitsentini kamaytirib yuboradi
d0403	YHQ 1 ilova: 4.1.1.belgisi "Harakatlanish to'g'riga". 7.4.1 belgi bilan o'rnatilgan yo'l belgisining ta'siri yuk tashuvchi, shu jumladan, tirkamali, to'la vazni 3,5 tonnadan ortiq bo'lgan transport vositalariga tatbiq etiladi.
d0404	YHQ 1 ilova: 3.28. belgisi "To'xtab turish taqiqlangan". Transport vositalarining to'xtab turishi taqiqlanishini bildiradi. To'xtab turish - transport vositasiga yo'lovchilarni chiqarish yoki tushirish, yuk ortish yoki tushirish bilan bog'liq bo'lmagan hollarda harakatini 10 daqiqadan ko'proq vaqtga atayin to'xtatish.
d0405	YHQ 1 ilovasibo'yicha rasmda keltirilgan yo'l belgilarining barchasi qayrilib olishga ruxsat beradi: 5.7.1 va 5.7.2. belgilari "Bir tomonlama harakatli yo'lga chiqish". Harakatlanish bir tomonlama bo'lgan yo'lga yoki qatnov qismiga chiqishni bildiradi, 5.10.2,5.10.3. "Yo'nalishli transport vositalari uchun bo'lagi bor yo'lga chiqish".
d0406	YHQ 1 ilova: 5.22. belgisi "Aholi punktining boshlanishi". Ushbu Qoidalarning aholi punktlarida harakatlanish tartibini belgilovchi talablariga amal qilinadigan joylarning nomi hamda uning boshlanishini bildiradi.
d0407	YHQ, 1-ilova 1.32. belgisi "Tirbandlik" belgisi.
d0408	YHQ, 2-ilova 1.29 yotiq chiziq "Sun'iy yo'l notekisligi"
d0409	Avtotest 2.0 o'quv qo'llanmasi. Avtomobilning tezligini ravon orttirish va uni ohista ravon tormozlashyoqilg'i sarfini tejaydi. 300 bet.
