o0001	Qizilga
o0858	Tramvay to'xtash joyidan nihoyatda ehtiyotkorlik bilan o'tishi
o0859	To'xtashi, tramvay eshiklari yopilgandan keyin harakatni davom ettirishi
o0860	Tezlikni kamaytirishi, tovush ishorasini berishi va eng kam tezlik bilan piyodalarning o'tish joyidan o'tishi
o0861	Tovush ishorasini berishi va tezlikni kamaytirmay piyodalarning o'tish joyidan o'tishi
o0862	Mazkur yo'nalishning qatnov qismidan piyodalarning o'tib olishiga imkon berishi
o0863	Ehtiyotkorlik choralariga rioya etgan holda piyodalarning o'tish joyidan o'tishi
o0864	Iloji boricha qatnov qismining o'ng chetiga yaqin tasmadan
o0865	Boshqa tasmalarda qatnov ko'p bo'lganda istalgan tasmadan
o0866	Istalgan tasmadan, biroq agar relssiz transport vositalarining harakati uchun bir yo'nalishda uchta va undan ortiq tasma bo'lsa, u holda chetki chap tasmaga faqat chapga burilish, orqaga qayrilish uchun o'tishga
o0867	Motosikl va yuk avtomobilining haydovchilari
o0868	Motosikl va yengil avtomobilning haydovchilari
o0869	Hamma haydovchilar
o0870	Hech kim buzmaydi
o0871	Haydovchiga xavf ma'lum bo'lgan vaqtdan boshlab avtomobilning to'liq to'xtagunicha bosib o'tgan masofasi
o0872	Tormoz tepkisini bosilgan vaqtidan boshlab avtomobilning to'liq to'xtagunicha bosib o'tgan yo'li
o0873	5,0 m
o0874	4,5 m
o0875	3,8 m
o0876	Mumkin qadar tezroq qatnov qismidan o'tib olishi
o0877	Qatnov qismidan o'tmasligi
o0878	Agar piyodalar o'tish joyida bo'lsa, qatnov qismidan o'tishi
o0879	Trotuar yaqinidagi to'xtab turish joyida mexanik transport vositalarining qo'yish usullari ko'rsatilgan to'xtab turish joyini bildiradi
o0880	Mexanik transport vositalarining to'xtashi taqiqlangan joylarni bildiradi
o0881	Belgilangan yo'nalishdagi transport vositalarining to'xtash va taksining to'xtab turish joyini bildiradi
o0882	Harakatni taqiqlaydi
o0883	Boshqa haydovchilarga qatnov qismiga maxsus transport vositalarining o'tganini xabar qiladi
o0884	Alohida ehtiyotkorlik bilan harakatlanishga ruxsat etadi
o0885	Ruxsat beriladi, faqat svetofor o'chgan bo'lsa
o0886	Faqat quvib o'tish uchun
o0887	Faqat aylanib o'tish uchun
o0888	Faqat chapga burilish yoki orqaga qayrilish uchun
o0889	Yo'lovchi yengil avtomobilida
o0890	Yo'lovchi yuk avtomobilida
o0891	Faqat tez tibbiy yordami mashinasida
o0892	Transport vositalarining harakatlanishiga qarama-qarshi faqat aholi yashaydigan joylardan tashqarida yurishga ruxsat etiladi
o0893	Transport vositalarining harakatlanishi bo'ylab faqat aholi yashaydigan joylardan tashqarida yurishga ruxsat etiladi
o0894	Tirkamasi bittadan ortiq bo'lmagan motosiklga ruxsat etiladi
o0895	Faqat qattiq tirkagichda ruxsat etiladi
o0896	Sirpanchiqda taqiqlanadi
o0897	Mazkur yo'nalishda harakatlanish tasmasi soni kamaya borib, qatnov qismining torayishini
o0898	Kesib o'tiladigan yo'l bo'ylab harakatlanayotgan transport vositasiga yo'l berar ekan, haydovchi zarur holda qayerda to'xtashi kerak bo'lgan joyni
o0899	To'xtash taqiqlangan joyga yaqinlashilganini
o0900	Chorrahalarda, piyodalar o'tish joylarida
o0901	Avtomagistrallarda
o0902	Sanab o'tilgan barcha joylarda
o0903	Kerak
o0904	Kerak emas
o0905	Agar to'xtab turishni taqiqlovchi belgi bo'lmasa, ruxsat etiladi
o0906	Faqat shu hududdagi korxonaga xizmat qiladigan yoki yaqin o'rtadagi uylarda yashaydigan fuqarolarga qarashli avtomobillarga ruxsat etiladi
o0907	Yuk avtomobilining haydovchisi
o0908	Har ikki avtomobilning haydovchisi
o0909	Orqadan kelayotganlarning urib ketishini keltirib chiqarishi mumkin
o0910	Avtomobilning faqat texnik holatida ko'rinadi
o0911	Serqatnov harakatda boshqarishning odatdagi usuli hisoblanadi
o0912	Yuk transport vositasining o'lchamidan oldinda yoki orqada 1 m dan ko'p chiqib qolganda
o0913	Yuk transport vositasining o'lchamidan orqada 0,8 m chiqib qolganda
o0914	Transport vositasi majburiy to'xtaganda
o0915	Haydovchining xohishiga ko'ra shu shart bilanki, bu xavf-xatardan holi bo'lsa va boshqa harakat qatnashchilariga xalaqit bermasa
o0916	Trotuar tomondan yoki yo'l yoqasidan iloji bo'lmasa shu shart bilanki bu hol xavf-xatarsiz bo'lsa va boshqa harakat qatnashchilariga xalaqit bermasa
o0917	O'ngga, chapga va qayrilib olishga
o0918	Ko'rsatilgan yo'nalishlarda harakatlanishni taqiqlaydi
o0919	Chorrahada tasmalar bo'ylab ruxsat etilgan harakat yo'nalishlarini ko'rsatadi
o0920	Harakat barcha yo'nalishlarda ruxsat etilgan yo'llarning kesishmasiga yaqinlashganini
o0921	Yengil avtomobil, avtobus, velosiped
o0922	Avtobus, velosiped, yengil avtomobil
o0923	Avtobus, yengil avtomobil, velosiped
o0924	Velosiped, avtobus, yengil avtomobil
o0925	Svetoforning ruxsat ishorasini kutishi va to'g'riga o'tishi
o0926	O'ngga burilish ishorasini yoqishi va o'ngga burilishi
o0927	Chapga burilish ishorasini yoqishi va o'ng qatorni bo'shatishi
o0928	Harakat xavfsizligini ta'minlovchi tezlik bilan kesishma orqali harakatni boshlashi kerak
o0929	Birinchi uzatmada kesishmadan o'tishi kerak
o0930	Yaqinlashib kelayotgan poezdning yo'qligiga ishonch hosil qilishi kerak
o0931	Yonilg'i sarfi ancha ortadi
o0932	Avtomobilning yonga sirpanishi vujudga kelishi mumkin
o0933	Yurgizgich tirsakli val aylanishining yuqori chastotasini oshiradi
o0934	Xavfli yuklar tashiyotgan
o0935	Nogironlar boshqarayotgan
o0936	Kar-soqov yoki kar haydovchilar boshqarayotganda
o0937	Ikki yilgacha haydovchilik ish davriga ega bo'lgan haydovchilar boshqarayotgan
o0938	Yo'lning har ikki tomoni ko'rinadigan joylarda ruxsat etiladi
o0939	Faqat aholi punktlaridan tashqarida ruxsat etiladi
o0940	Faqat aholi punktlarida ruxsat etiladi
o0941	Yuk ko'tarish 3,5 t dan ortiq bo'lgan avtomobillarga
o0942	Ruxsat etilgan to'la vazni 3,5 t dan ortiq bo'lgan avtomobillarga
o0943	Xavfli yuk tashiyotgan avtomobillarga
o0944	Yukxonasiga qiya oq chiziq tortilgan yuk avtomobillariga
o0945	Agar u haydovchining chap tomonida bo'lsa ruxsat etiladi
o0946	Agar u haydovchining o'ng tomonida bo'lsa ruxsat etiladi
o0947	Istalgan tomondan ruxsat etiladi
o0948	Tramvay, sariq va qizil avtomobilga
o0949	Sariq va qizil avtomobillarga
o0950	Uni aylanib o'tayotgan transport vositasiga yo'l berishi kerak
o0951	Imtiyozidan foydalanib, belgilangan yo'nalishda harakatni boshlashi kerak
o0952	Unga yo'l berilganligiga ishonch hosil qilgach harakatni boshlashi kerak
o0953	Ko'k avtomobilning haydovchisi
o0954	Qizil avtomobilning haydovchisi
o0955	Har ikki haydovchi buzdi
o0956	Har ikki haydovchi ham buzmadi
o0957	Transport vositalariga to'sqinlik qilmasligi uchun burilishni tezroq tugallashi
o0958	Hovlidan chiqishda piyodani va transport vositalarini o'tkazib yuborishi
o0959	Transport vositalariga yo'l berish, qatnov qismi chetida to'xtashi
o0960	Ulagichni ajratmay turib sekin tormoz berishi va boshqaruv rulining keskin burilishiga yo'l qo'ymasligi
o0961	Ulagichni ajratish va sekin tormoz berishi
o0962	Tormoz tepkisini uzuq-uzuq bosish bilan keskin tormoz berishi
o0963	Kar yoki kar-soqov haydovchilar boshqarayotgan
o0964	Nogiron boshqarayotgan
o0965	Faqat shunday holda ruxsat etiladiki, agar chiziq yo'l qatnov qismining chetlarini bildirsa
o0966	Chiziq bir yo'nalishdagi harakat tasmalarining chegarasini bildirganda faqat manyovr qilishda ruxsat etiladi
o0967	Piyodalarga mazkur yo'nalishning qatnov qismidan butunlay o'tib olishlariga imkon berishi
o0968	Yo'l-transport falokati oldini olish uchun tovush ishora berishi va asosiy yo'lda bo'lgani sababli piyodalarga yo'l bermay o'tish joyidan o'tishi
o0969	To'xtashga va piyodalar o'tish joyiga o'tmaslikka, chunki bu piyodalarning harakati uchun to'sqinlik qiladi
o0970	Piyodalar o'tish joyi oldidan 15 m. berida to'xtashga
o0971	Oldinda turgan transport vositasidan zarur masofa saqlangan holda piyodalar o'tish joyida to'xtashga
o0972	Piyodalar o'tish joyi oldidan 5 m. berida to'xtashga
o0973	Aholi punktlaridan tashqaridagi yo'llarda ruxsat etiladi
o0974	Faqat aholi punktlaridan tashqaridagi yo'llarda taqiqlanadi
o0975	Haydovchiga chap yoki o'ng elkasini o'girib, tayoqchani (qizil bayroqni) boshidan yuqori ko'tarib turish
o0976	Oldi yoki orqasi bilan turib jezlni (qizil bayroqni) boshidan yuqori ko'tarib turishi yoki qo'llarini yoniga uzatib turishi
o0977	Istalgan elkasi yoki ko'kragini o'girib, tayoqchani (qizil bayroqni) boshidan yuqori ko'tarib turishi
o0978	Tezlanish bilan yuqoriroq uzatmalarda harakatlanishga
o0979	Qisqa masofa oralig'ida tormoz tepkisini bir necha bor bosib tormoz mexanizmi friksion ustqoplamalarini quritishi
o0980	Og'ir vaznli va yirik o'lchamli
o0981	Kar-soqov yoki kar haydovchilar boshqarayotgan
o0982	Har ikkisi buzdi
o0983	Har ikkisi ham buzmadi
o0984	Tramvay, avtomobil va avtobus bir vaqtda
o0985	Tramvay, avtobus, avtomobil
o0986	Avtobus, tramvay, avtomobil
o0987	Agar avtobus belgilangan yo'nalish bo'yicha harakatlansa, ruxsat etiladi
o0988	Yaralangan yoni bilan yotgan yoki yarim o'tirgan holda
o0989	Sog' yoni bilan yotgan yoki o'tirgan holda
o0990	Orqasi bilan yoki qorni bilan yotgan holda
o0991	Yo'l yotiq chizig'i bilan
o0992	Tasmalar bo'yicha harakatlanish yo'nalishi yoki "Tasma bo'yicha harakatlanish yo'nalishi" yo'l belgilari bilan
o0993	Haydovchining o'zi tomonidan qatnov qismining kengligini, transport vositalarining o'lchamlarini va ular o'rtasidagi zarur yonlama oraliq masofani hisobga olib
o0994	Barcha sanab o'tilgan usullar bilan
o0995	O'rta tasmadan, lekin faqat o'ng tasma band bo'lgan vaqtda
o0996	Uncha katta bo'lmagan tezliqda chiqish, birinchi galda boshqaruv chambaragini chiqish tomonning ro'parasiga, keyin esa chiqish tomoniga shiddat bilan burish kerak
o0997	Izdan chiqishni iloji boricha tezroq boshlash, dastlab boshqaruv chambaragini chiqish tomoniga, keyin esa ro'parasiga burish kerak
o0998	Tegishli yo'l belgilari bilan
o0999	Yo'naltiruvchi va tevaragini o'rovchi moslamalar bilan
o1000	Qizil yoki sariq yoritkich chiroqlari bilan
o1001	Barcha sanab o'tilgan hollar bajarilishi kerak
o1002	Kesishadigan yo'l bo'ylab harakat qilayotgan mexanik transport vositalariga yo'l beradi
o1003	Kesishadigan yo'l bo'ylab harakat qilayotgan transport vositalariga yo'l beradi
o1004	Faqat to'xtash uchun ruxsat etiladi
o1005	Orqa bilan harakat qilganda ruxsat etiladi
o1006	Yuk avtomobili va motosiklga
o1007	Tramvayga va yengil avtomobilga
o1008	Yengil va yuk avtomobiliga, motosiklga
o1009	Harakat tasmasini o'zgartirmay, o'ng burilish ishorasini berishi
o1010	Harakat tezligini oshirish yoki boshqa xatti-harakatlar bilan quvib o'tishga to'sqinlik qilmasligi
o1011	Harakat tezligini kamaytirishi, tovush ishora berishi
o1012	Manyovrni bevosita bajarishdan oldin
o1013	Manyovr tugagandan so'ng zudlik bilan
o1014	Manyovr bajarayotgan vaqtda
o1015	Kiyim-boshni echish yoki bo'shatish, toza havo kelishini ta'minlash. Nashatir spirti hidlatish. Yuzga sovuq suv sepish. Peshonaga va gardanga iliq malhamlar qo'yish
o1016	Mutloq tinch qo'yish. Boshni tushirish, oyoqlarni ko'tarish, badanni isitish. Qaynoq ichimlik (choy va shu kabilar) berish. Bog'langan jgutni shifokorsiz yechmaslik va bo'shatmaslik
o1017	Chap belgi
o1018	O'ng belgi
o1019	Har ikki belgi
o1020	Quvib o'tilayotgan transport vositasi 40 km/s dan kam tezlik bilan harakatlanganda ruxsat etiladi
o1021	Agar quvib o'tish temir yo'l kesishmasigacha tugasa, ruxsat etiladi
o1022	"to'xtash chizig'i"da to'xtashi, so'ng esa harakatni qayta tiklashi
o1023	To'xtamasdan chorraha orqali harakatni davom ettirishi
o1024	Oldindan yaqin fara chiroqlarini yoqib va uzluksiz tovush ishorasini berib, eng kam tezlik bilan turgan transport vositasini aylanib o'tishi
o1025	Qatnov qismidan o'tayotgan bolalarga yo'l berishi
o1026	Bu yo'l qismidan o'tishi kerak, chunki bolalar qatnov qismini piyodalar o'tish joyidan kesib o'tmayaptilar
o1027	Ikki haydovchi
o1028	Faqat avtobusning haydovchisi
o1029	Faqat yengil avtomobilning haydovchisi
o1030	Tovush xabarini berib va faralarni yoqib quvib o'tishni uni tugallaguncha davom ettirishingiz kerak
o1031	Tezlikni asta ko'paytirishingiz va quvib o'tishni tezroq tugallashingiz kerak
o1032	Tezlikni kamaytirishingiz va avval egallagan tasmangizga qaytishingiz kerak
o1033	Faqat agar uning orqasida boshqa transport vositasi harakatlanayotgan holda
o1034	Faqat agar uning transport vositasi burilishini ko'rsatuvchi chiroqlar bilan jihozlangan holda
o1035	Faqat serqatnov harakatli yo'lda
o1036	Faqat u harakatning boshqa ishtirokchilarini chalg'itmagan hollarda
o1037	Qattiq ulagichda shatakka olinganda ruxsat etiladi
o1038	Harakat xavfsizligini ta'minlovchi tezlikda ruxsat etiladi
o1039	40 km/s
o1040	8 tonnagacha yuk ortgan avtomobil
o1041	8 tonna yuk ko'tarish quvvatiga ega bo'lgan bo'sh avtomobil
o1042	Ruxsat etilgan to'la vazni 8 tonnadan ortiq bo'lmagan avtomobil
o1043	Piyodalar o'tish joyini
o1044	Velosiped yo'lkasi qatnov qismini kesib o'tadigan joyni
o1045	Mol haydaladigan joyni
o1046	Uch tasmali yo'lning ikkinchi tasmasida harakatlanish
o1047	Orqa bilan harakatlanish
o1048	Mexanik transport vositalarini shatakka olish
o1049	Barcha sanab o'tilgan harakatlar
o1050	Agar tasma qatnov qismining o'ng chetida joylashgan va u yotiq uzluksiz chizig'i bilan qatnov qismidan ajratilmagan bo'lsa ruxsat etiladi
o1051	Avtobusning haydovchisi
o1052	Yuk tashuvchi avtomobilning haydovchisi
o1053	Ko'k, qizil, ayni vaqtda yashil bilan
o1054	Qizil ayni vaqtda yashil bilan, ko'k
o1055	Kerak, agar transport vositasi qo'shni tasma bo'yicha yo'lakay harakat qilsa
o1056	O'zaro qayta tizilishda barcha hollarda kerak
o1057	Xavfli burilishdan 100 metr o'tib turib to'xtash va orqasida to'plangan transport vositalarini o'tkazib yuborishi
o1058	O'sha tezlik bilan harakatni davom ettirishi
o1059	Qo'li bilan o'zini ro'para tasmadan quvib o'tishlari haqida ishora qilishi kerak
o1060	Oldinda qatnov qismi notekis bo'lgan yo'l qismini
o1061	Oldinda shu yo'nalishda harakatlanish uchun uch tasmali yo'l qismini
o1062	Mexanik transport vositasida tishli turumlangan (shiplar) shinalar o'rnatilganini
o1063	Yo'l yoqasida to'xtashi
o1064	Yalt-yalt etuvchi chiroq mayoqchasi yoqilgan avtomobiliga xalaqit bermasdan harakatni davom ettirishi
o1065	Yo'l (marshrut) raqamini ko'rsatadi
o1066	Eng yaqin aholi yashaydigan joygacha bo'lgan masofani ko'rsatadi
o1067	DANning eng yaqin mahkamasigacha bo'lgan masofani ko'rsatadi
o1068	"Kilometr belgisi" vazifasini bajaradi
o1069	Faqat orqa burilish uchun ruxsat etiladi, to'la vazni 3,5 t dan ortiq bo'lgan yuk avtomobillarning haydovchilari bundan mustasno
o1070	Belgilangan yo'nalishdagi transport vositalariga ruxsat etiladi
o1071	Qizil avtomobil, tramvay ayni vaqtda yashil avtomobil bilan
o1072	Tramvay, qizil, yashil avtomobillar
o1073	Tramvay, ayni vaqtda yashil avtomobil, qizil avtomobil
o1074	Har ikki haydovchi to'g'ri chiqadi
o1075	Yashil avtomobilning haydovchisi
o1076	Quvib o'tish uchun ruxsat etiladi
o1077	Barcha hollarda ruxsat etiladi
o1078	Faqat shu holdaki, agar uning orqasidan boshqa transport vositasi harakat qilsa
o1079	Faqat aholi punktlarida
o1080	Qizil avtomobil va motosiklning haydovchilari
o1081	Ko'k avtomobil haydovchisi
o1082	Motosiklning haydovchisi
o1083	Barcha transport vositalarining haydovchilari
o1084	Belgilangan safarni davom ettirishga, bunda kunning yorug' vaqtida yaqinni yorituvchi fara chirog'ini yoqishga
o1085	Bundan keyingi harakatni to'xtatishga
o1086	Nosozlikni o'sha joyda bartaraf etishga, agar buning iloji bo'lmasa zarur ehtiyot choralariga rioya qilgan holda to'xtab turish yoki ta'mirlashga olib borishga
o1087	Faqat shu holdaki, agar shatakka olish yo'l-yo'lakay yo'nalishda amalga oshirilsa
o1088	Har qanday holda, fuqarolarga tegishli transport vositalaridan tashqari
o1089	Haydovchining istagi bo'yicha
o1090	Faqat avtobusning harakatlanishi uchun mo'ljallangan tasmani bildiradi
o1091	Faqat belgilangan yo'nalishdagi transport vositalarining harakatlanishi uchun mo'ljallangan tasmani bildiradi
o1092	Avtobuslar va trolleybuslarning harakatlanishi uchun mo'ljallangan tasmani bildiradi
o1093	Avtobuslar va marshrutli taksi (alohida kichik avtobuslar)ning harakatlanishi uchun mo'ljallangan tasmani bildiradi
o1094	Chorrahaga chiqdi, yuk avtomobilini o'tkazib yubordi, burilishni tugalladi
o1095	Chorrahaga chiqdi va tartibga soluvchining ruxsat etuvchi ishorasini kutib, burilishni tugalladi
o1096	To'xtadi va tartibga soluvchining ruxsat etuvchi ishorasida to'xtamay chapga burildi
o1097	Faqat orqa yo'nalishda
o1098	To'g'riga, chap va orqa yo'nalishda
o1099	Chap va orqa yo'nalishda
o1100	Barcha yo'nalishlarda
o1101	Bevosita manyovrni bajarishni boshlash oldidan
o1102	Manyovrni bajarishni boshlagandan so'ng zudlik bilan
o1103	Manyovrni bajarishni boshlamasidan oldinroq
o1104	Chap tasmada, agar o'ng tasma bo'sh bo'lsa
o1105	Qarama-qarshi harakat tomonida
o1106	Agar bir yo'nalishda harakatlanish uchun uchtadan kam bo'lmagan tasma bo'lganda, chap tasmada
o1107	Ruxsat etilgan to'la vazni 3,5 t. dan ortiq bo'lgan faqat yuk avtomobillariga bir yo'nalishdan harakatlanishi uchun ikkita tasma bo'lsa, chap tasmada
o1108	Tezlikni o'zgartirmay va yo'l qatnov qismining chap yoqasidan harakatni davom ettirishingiz kerak
o1109	Harakat tezligini kamaytirishingiz kerak
o1110	Burilishdan tezroq o'tish uchun tezlikni oshirishingiz kerak
o1111	Agar ularning tuzilishi odamlarni tashishga moslashtirilgan bo'lsa, ruxsat etiladi
o1112	Yo'lovchilarga halokat bo'lganda chiqish joylaridan foydalanish haqida tushuntirish
o1113	Yo'lovchilarga chiqish, undan tushish va unga joylashish tartibi haqida tushuntirish
o1114	Yo'lovchilarga harakatlanish vaqtida salon ichida yurish mumkin emasligi haqida tushuntirish
o1115	Yo'llar ostin-ustun o'tadigan chorrahalarni
o1116	Harakatlanish tezligi 40 km/s gacha cheklangan qismini
o1117	Yo'l inshootlarining harakatdagi transport vositalariga xavf tug'diradigan tik tasmalarini
o1118	Agar u harakatni to'xtash joyidan boshlasa
o1119	Agar u "tig'iz" soatda marshrut bo'yicha harakat qilsa
o1120	Aholi punktlarida, agar u belgilangan to'xtash joyidan (bekatlardan) harakatni boshlasa
o1121	Avtomobillar va motosikl
o1122	Barcha transport vositalari
o1123	Avtomobillar va tramvay
o1124	Ruxsat etiladi, agar qizil avtomobil 40 km/soatdan kam tezlik bilan harakatlanayotgan bo'lsa
o1125	Faqat chapdagi
o1126	Chap va o'rtadagi
o1127	Barchasida
o1128	Avtomobilning turg'unligini oshiradi
o1129	Avtomobilning turg'unligini kamaytiradi
o1130	Avtomobilning turg'unligiga hech qanday ta'sir ko'rsatmaydi
o1131	2,55 m
o1132	Birinchi bo'lib ayni bir vaqtda qizil bilan
o1133	Ikkinchi bo'lib ayni vaqtda qizil bilan
o1134	Uchinchi bo'lib ayni vaqtda qizil bilan
o1135	Yo'lning xavfli joylaridagi harakatlanish tasmasi chegarasini bildiradi
o1136	Yo'lning boshqa qismlarida yo'l chetidagi to'siqlarning yon chegarasini belgilaydi
o1137	Xavfli yo'l qismlarida bordyurlarni belgilaydi
o1138	Yo'naltiruvchi ustunchalar, beton yoki temir-beton ustunchalar, to'siq ustunchalari va shunga o'xshashlarni belgilaydi
o1139	Barcha hollarda o'tkazib yuborishi kerak, shu jumladan piyodalar o'tish joylardan tashqarida ham
o1140	Tartibga solinadigan piyodalar o'tish joyida o'tkazib yuborishi kerak
o1141	Tartibga solinmagan piyodalar o'tish joyida o'tkazib yuborishi kerak
o1142	Har qanday piyodalar o'tish joyida o'tkazib yuborish kerak
o1143	Yengil avtomobil
o1144	Har ikkisi noto'g'ri qo'yilgan
o1145	Har ikkisi to'g'ri qo'yilgan
o1146	Yuk avtomobil
o1147	Qatnov qismining faqat o'ng chekkasidan yo'l qo'yadi. Yo'lning o'ng yoqasidan yo'l qo'yilmaydi
o1148	Yo'l qo'yiladi. Bunda qayrilayotgan haydovchi yo'lakay va qarama-qarshi kelayotgan transport vositalarini o'tkazib yuborishi kerak
o1149	Har qanday tasma bo'yicha
o1150	Iloji boricha qatnov qismining o'ng chekkasiga yaqin tasma bo'yicha
o1151	Chapki chekkadan tashqari har qanday tasma bo'yicha. Unga faqat boshqa tasmalarda harakat serqatnov bo'lganda, shuningdek, chapga burilish, orqaga qayrilish va bir tomonlama harakat tashkil qilingan yo'lda to'xtash uchun o'tishga ruxsat etiladi
o1152	Harakatni boshlash mumkin
o1153	Harakatni taqiqlaydi va tezda yashil ishora yoqilishi haqida ogohlantiradi
o1154	Chorrahaga maxsus ovoz yoki miltillovchi chiroq bilan ishora berayotgan transport vositasi yaqinlashib kelayotganini
o1155	Avtomobil shifokor haydovchiga tegishli ekanini
o1156	Avtomobil haydovchi nogironga tegishli ekanini
o1157	Avtomobil uyda tibbiy yordami ko'rsatish uchun mo'ljallanganini
o1158	Taqiqlangan, chunki uzuq-uzuq yotiq chizig'i bilan to'xtab turgan va avtomobil orasidagi masofa 3 metrdan kam
o1159	Oyning juft kunlarida taqiqlangan
o1160	Ruxsat berilgan
o1161	Traktorlar va o'ziyurar avtomobillarga
o1162	Avtobuslar va mikro avtobuslarga
o1163	Belgi ta'sirida joylashgan korxonalarga xizmat ko'rsatayotgan transport vositasiga
o1164	Motosikl
o1165	Har ikki avtomobil
o1166	Hamma transport vositalari
o1167	Shlagbaum bilan jihozlanmagan bir izli temir yo'l kesishmasini
o1168	Shlagbaum bilan jihozlangan bir izli temir yo'l kesishmasini
o1169	Shlagbaum bilan jihozlanmagan ikki va undan ko'p izli temir yo'l kesishmasini
o1170	Ko'k-sariq avtomobilga chapga
o1171	Ko'k-sariq avtomobilga to'g'riga, qizil avtomobilga to'g'riga va o'ngga
o1172	Qizil avtomobilga - to'g'riga va o'ngga
o1173	Har ikki transport vositasi
o1174	Har ikki transport vositasi to'g'ri burilyapti
o1175	Xavfsizlik choralariga rioya qilgan holda tezlikni kamaytirishi va xavfli yo'l qismidan o'tishi
o1176	Tezlikni transport vositasi to'xtagunicha kamaytirishi yoki to'siqni aylanib o'tishning boshqa harakat qatnashchilari uchun xavfsiz choralarni ko'rishi
o1177	Sodir bo'lgan hodisa haqida ichki ishlar organlariga xabar berishi
o1178	DYHX xizmatining eng yaqin mahkamasiga yoki IIO idorasiga kelishi va paydo bo'lgan to'sqinliklar yoki xavf-xatar to'g'risida xabar berishi
o1179	Yurakni massaj qilish, nafas yo'llarini bo'shatish, sun'iy nafas oldirish
o1180	Sun'iy nafas oldirish, yurakni ustidan massaj qilish, nafas yo'llarini bo'shatish
o1181	Nafas yo'llarini bo'shatish, sun'iy nafas oldirish va yurakning ustidan massaj qilish
o1182	Gidravlik tormoz tizimining zichligi buzilganda
o1183	Tormoz tizimining samaradorligi qoida talablariga javob beradi
o1184	To'xtab turish tormoz tizimi harakatsiz holatda to'la vazndagi transport vositalarini 16% dan kam bo'lgan qiyalikda ushlab tura olganda
o1185	To'xtash joyida tramvay bo'lmaganda ruxsat etiladi
o1186	Hamma bir vaqtda
o1187	Ko'k ayni vaqtda yashil bilan, qizil
o1188	Qizil, yashil bilan ko'k
o1189	Qizil avtomobilga
o1190	Tramvayga va qizil avtomobilga
o1191	Tramvayga
o1192	Ko'k avtomobilga
o1193	Quvib o'tilayotgan transport vositasing tezligi 40 km/s dan kam bo'lganda ruxsat etiladi
o1194	300 m
o1195	150 m
o1196	100 m
o1197	50 m
o1198	Bir marta ko'krak qafasi bosiladi, bir marta havo puflanadi va hokazo
o1199	Ikki marta havo puflanadi, so'ng yurak sohasi 30 marta bosiladi va hokazo
o1200	2-3 marta havo puflangandan so'ng 15 marta ko'krak qafasi bosiladi
o1201	Davlat YHXX
o1202	Avtoxo'jalik ma'muriyati
o1203	Mazkur transport vositasini tayyorlovchi-korxona
o1204	Avtobuslar va yo'nalishli taksilar
o1205	Tramvaylar va trolleybuslar
o1206	Belgilangan yo'nalishlar bo'yicha harakatlanadigan avtobuslar, trolleybuslar, tramvaylar va yo'nalishli taksilar
o1207	Faqat ruxsat etilgan to'la vazni 3,5 t dan ortiq bo'lmagan avtomobillarga ruxsat etiladi
o1208	Sariq va qizil avtomobilga
o1209	Yashil, qizil va oq avtomobilgatosiklga
o1210	Oq va yashil avtomobilga
o1211	Avtobus
o1212	Sariq avtomobilga u orqadan kelayotgani uchun yo'l bermay, mo'ljallangan yo'nalishda chorrahani kesib o'tishi
o1213	Qarama-qarshi harakat tasmasiga darhol qayta tizilishi
o1214	Tezlikni kamaytirishi, sariq avtomobilga quvib o'tishni tugallashiga imkon berishi, so'ng esa chapga burilishni ko'rsatadigan chiroqni yoqib, chapga burilishi lozim
o1215	Ruxsat berilmaydi
o1216	Ruxsat beriladi, faqat yo'nalishlarda osma ko'priklar, osma yo'l (estakada) bo'lmasa
o1217	0,025
o1218	0,035
o1219	0,05
o1220	0,055
o1221	0,06
o1222	Ishchi tormoz bilan to'la to'xtaguncha keskin tormozlash
o1223	Avtomobilni to'xtab turish tormozi yordamida to'xtatish
o1224	Rul chambaragini ushlab turish, to'g'ri chiziqda harakatni saqlash, tezlikni kamaytirish va to'xtatish
o1225	1- va 2-tramvaylar ayni vaqtda yashil avtomobil bilan, qizil, ko'k avtomobillar
o1226	1-tramvay ayni vaqtda yashil avtomobil bilan, qizil avtomobil; 2-tramvay va ko'k avtomobil bir vaqtda
o1227	Tramvayga chapga yoki to'g'riga
o1228	Faqat avtomobilga chapga
o1229	Tramvay va avtomobilga chapga
o1230	Tramvayga chapga yoki to'g'riga, avtomobilga tramvaydan so'ng
o1231	Tramvayga chapga, avtomobilga chapga va teskari yo'nalishga
o1232	Yengil avtomobilning haydovchisiga
o1233	Yuk avtomobilining haydovchisiga
o1234	Chorrahalarda va ularga 15 metrdan yaqinroqda
o1235	Chorrahalar oldiga 15 metrdan yaqinroqda
o1236	Yo'lning bir yo'nalishida 100 metrdan kamroq qismi ko'rinadigan aholi punktlaridan tashqarida
o1237	Yo'lning ko'rinishi biror-bir yo'nalishda 100 metrdan kam bo'lgan joylarda
o1238	1. Burilish yoki qayrilish oldidan qayta tizilishda
o1239	2. Quvib o'tishda, o'zib ketishda yoki aylanib o'tishda
o1240	Birinchi va ikkinchi javoblar to'g'ri
o1241	Sanab o'tilgan barcha hollarda, shuningdek, agar bir yo'nalishda harakatlanish uchun uchta va undan ortiq tasma bo'lganda
